"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"Greaves Cotton Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/GREAVESCOT_09072026214842_GCL_BRSR_Intimation_with_BRSR_report_signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_XBRL_XML_FY25-26_BRSR_WebXMLFile_20260709_214917404.xml","09-Jul-2026","-"
"The Bombay Dyeing and Manufacturing Company Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_500020_10072026114715.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500020_1072026114715_BRSR_WebXMLFile_20260710_114847358.xml","09-Jul-2026","10-Jul-2026"
"Butterfly Gandhimathi Appliances Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BUTTERFLY_09072026213223_Butterfly_SE_Intimation.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_XBRL_BRSR_WebXMLFile_20260709_213244540.xml","09-Jul-2026","-"
"Rishabh Instruments Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/RISHABH_09072026195756_RIL_BRSR_Intimation_FY_2025-26_Executed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RIL_BRSR_FY202526_BRSR_WebXMLFile_20260709_195811679.xml","09-Jul-2026","-"
"Neuland Laboratories Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_524558_09072026195125.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_524558_972026195125_BRSR_WebXMLFile_20260709_195138707.xml","09-Jul-2026","-"
"Punjab Chemicals and Crop Protection Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_506618_09072026192947.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_506618_972026192947_BRSR_WebXMLFile_20260709_193340280.xml","09-Jul-2026","-"
"Central Bank of India",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_532885_09072026190422.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_532885_97202619422_BRSR_WebXMLFile_20260709_190445804.xml","09-Jul-2026","-"
"JSW CEMENT LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/JSWCL_09072026170000_BRSR_Report.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_XML_BRSR_WebXMLFile_20260709_170031181.xml","09-Jul-2026","-"
"Mankind Pharma Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/MANKIND1_09072026170010_BRSRFY2025_26_sd.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_FY_2025-26_BRSR_WebXMLFile_20260709_170026957.xml","09-Jul-2026","-"
"The Great Eastern Shipping Company Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_500620_09072026150749.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500620_97202615749_BRSR_WebXMLFile_20260709_160545743.xml","09-Jul-2026","-"
"Marico Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_531642_09072026151053.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_531642_972026151053_BRSR_WebXMLFile_20260709_160429910.xml","09-Jul-2026","-"
"Sasken Technologies Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/SASKEN_09072026131613_Ltr_to_SE_BRSR_6_July_2026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/STL_BRSR_2025-26_BRSR_WebXMLFile_20260709_131622213.xml","09-Jul-2026","-"
"Central Depository Services (India) Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/CDSL_09072026125731_NSEIntimation_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/temp_report_1783581860_BRSR_WebXMLFile_20260709_125740076.xml","09-Jul-2026","-"
"Bajaj Finserv Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_532978_09072026113603.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_532978_97202611363_BRSR_WebXMLFile_20260709_113634347.xml","09-Jul-2026","-"
"INDIA NIPPON ELECTRICALS LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/INDNIPPON2_08072026215948_INEL_BRSR_-_FY_2025-26.pdf","https://nsearchives.nseindia.com/corporate/xbrl/INELBRSRFY2025-26_BRSR_WebXMLFile_20260708_220151691.xml","08-Jul-2026","-"
"ASTEC LIFESCIENCES LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/ASTEC_08072026214620_BRSR2026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSRXML2026_BRSR_WebXMLFile_20260708_214658307.xml","08-Jul-2026","-"
"SIYARAM SILK MILLS LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/SIYSIL_08072026213037_SE_SubmissionofBRSR31032026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BUSINESS_RESPONSIBILITY_SUSTAINABILITY_REPORTING2026_BRSR_WebXMLFile_20260708_213049585.xml","08-Jul-2026","-"
"Precision Camshafts Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_539636_08072026211531.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_539636_872026211530_BRSR_WebXMLFile_20260708_211643759.xml","08-Jul-2026","-"
"REFEX INDUSTRIES LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/REFEX2002_08072026210123_STXBRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/refex_BRSR_WebXMLFile_20260708_210213151.xml","08-Jul-2026","-"
